Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Scraped,Notion page URL,target_tables,candidate_1_table,candidate_1_name,candidate_1_score,candidate_1_basis,candidate_2_table,candidate_2_name,candidate_2_score,candidate_2_basis,candidate_3_table,candidate_3_name,candidate_3_score,candidate_3_basis
NSW MVP Ventures Program,Funding,Grant,NSW,"25,000 - 75,000",Round 3 closed 10 Apr 2026; check for Round 4 opening,Inactive,Tech; AgTech; HealthTech; CleanTech,Women; Regional; Indigenous,"Matched grants $25K-$75K for NSW startups commercialising minimum viable products. Priority for women, regional, and Indigenous founders.",https://www.nsw.gov.au/business-and-economy/innovation/grants-and-programs/mvp-ventures-program,2026-07-09,https://app.notion.com/p/NSW-MVP-Ventures-Program-3985de222667815ca09bfd894b7a7f28,investors_public; trade_investment_agencies,investors_public,M8 Ventures,0.870,core-name 'mvp ventures' ~ 'm8 ventures',investors_public,PB Ventures,0.870,core-name 'mvp ventures' ~ 'pb ventures',investors_public,CP Ventures,0.870,core-name 'mvp ventures' ~ 'cp ventures'
REACH Australia and New Zealand,Funding,Investor,QLD,,,Unspecified,Tech,,Global proptech growth program (Second Century Ventures / NAR) supporting real estate technology companies scaling in ANZ.,https://www.reach.vc/,2026-07-09,https://app.notion.com/p/REACH-Australia-and-New-Zealand-3985de2226678144a2fbd01d9f562d2a,investors_public; trade_investment_agencies,trade_investment_agencies,AmCham New Zealand,0.857,core-name 'reach new zealand' ~ 'amcham new zealand',investors_public,REACH ANZ,0.615,core-name 'reach new zealand' ~ 'reach anz',,,,
AgriFutures Funding,Funding,Grant,National,"Up to 500,000",Rolling,Open / Rolling,AgTech,,"Agriculture innovation grants supporting agtech, sustainability, and rural industry startups.",https://www.agrifutures.com.au/,2026-07-09,https://app.notion.com/p/AgriFutures-Funding-3985de222667812ab75df2e0d6ed4a38,investors_public; trade_investment_agencies,investors_public,Agrifutures Australia RD&E Investment,0.800,core-name 'agrifutures' ~ 'agrifutures rd e investment',investors_public,OIF Ventures,0.609,core-name 'agrifutures' ~ 'oif ventures',,,,
Cohort Innovation Space,Programs,Accelerator,QLD,,,Unspecified,HealthTech; Tech,,"Gold Coast Health and Knowledge Precinct launchpad for health, science and tech ventures. Runs LuminaX healthtech accelerator, InvestFest, NextGen pre-accelerator, Founders Club peer learning and monthly Office Hours mentoring.",https://cohortspace.com.au/,2026-07-09,https://app.notion.com/p/Cohort-Innovation-Space-3985de2226678125b8b0c5b6469c3ff9,innovation_ecosystem; trade_investment_agencies; investors_public,innovation_ecosystem,Canberra Innovation Network,0.800,core-name 'cohort innovation space' ~ 'innovation',innovation_ecosystem,CORE Innovation Hub,0.737,core-name 'cohort innovation space' ~ 'core innovation',innovation_ecosystem,CSIRO Innovation Centre,0.696,full normalised name
Queensland Female Founders Co-Investment Fund,Funding,Grant,QLD,"50,000 - 200,000",Open until allocated,Open / Rolling,,Women,Co-investment matching private investment $50K-$200K into Queensland women-founded startups.,https://www.business.qld.gov.au/,2026-07-09,https://app.notion.com/p/Queensland-Female-Founders-Co-Investment-Fund-3985de22266781ad81a3cdbda926385d,investors_public; trade_investment_agencies,trade_investment_agencies,Investment NSW,0.800,core-name 'female founders co investment' ~ 'investment',trade_investment_agencies,Trade and Investment Queensland,0.622,core-name 'female founders co investment' ~ 'trade investment',investors_public,Marbruck Investments,0.612,core-name 'female founders co investment' ~ 'marbruck investments'
Regional Accelerator Network,Connections,Community,National,,,Unspecified,,Regional,Network connecting regional Australian founders with accelerator programs and startup support outside capital cities.,https://getsova.com.au/directory.html,2026-07-09,https://app.notion.com/p/Regional-Accelerator-Network-3985de2226678159844cd80cbb5a8e28,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,I2N Accelerator Program,0.800,core-name 'regional accelerator' ~ 'i2n accelerator',innovation_ecosystem,Griffin Accelerator Program,0.769,core-name 'regional accelerator' ~ 'griffin accelerator',innovation_ecosystem,Illumina Accelerator,0.750,core-name 'regional accelerator' ~ 'illumina accelerator'
Startup & Angels,Funding,Investor,National,,,Unspecified,Tech,,Networking event series connecting startups and angel investors across Australia and Asia-Pacific.,https://www.startupandangels.com/,2026-07-09,https://app.notion.com/p/Startup-Angels-3985de2226678153bec5f6dcc19f1928,investors_public; trade_investment_agencies,investors_public,Perth Angels,0.800,core-name 'startup angels' ~ 'angels',investors_public,Melbourne Angels,0.800,core-name 'startup angels' ~ 'angels',investors_public,Sydney Angels,0.800,core-name 'startup angels' ~ 'angels'
Startup Victoria,Advice,Government,VIC,,,Unspecified,Tech,,"Victoria's startup community (now part of LaunchVic ecosystem). Events, founder resources, and Melbourne startup network.",https://startupvictoria.com.au/,2026-07-09,https://app.notion.com/p/Startup-Victoria-3985de222667815b9565f1de8dc7c472,community_members_public; service_providers,service_providers,LUNA Startup Studio,0.800,core-name 'startup' ~ 'luna startup studio',service_providers,Invest Victoria,0.710,full normalised name,,,,
The Entrepreneur Club,Connections,Community,VIC,,Monthly (last Friday),Scheduled / Dated,,,Melbourne founder community with monthly breakfast meetups. Peer support and speaker sessions for entrepreneurs.,https://www.meetup.com/the-entrepreneur-club-melbourne/,2026-07-09,https://app.notion.com/p/The-Entrepreneur-Club-3985de2226678115ae0be23f7d4e4168,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,Australian Clinical Entrepreneur Program,0.800,core-name 'entrepreneur' ~ 'clinical entrepreneur',,,,,,,,
TiE Women Global Pitch Competition,Funding,Competition,National,"USD $50,000",Closes 15 Jun 2026,Scheduled / Dated,,Women,Global pitch competition for women founders. USD $50K grand prize with regional finals feeding global final.,https://tieglobal.org/,2026-07-09,https://app.notion.com/p/TiE-Women-Global-Pitch-Competition-3985de22266781689291d22f5bdbc9bb,investors_public; trade_investment_agencies,trade_investment_agencies,Global Victoria,0.800,core-name 'tie women global pitch competition' ~ 'global',,,,,,,,
D10x Accelerator,Programs,Accelerator,NSW,"Up to 350,000",,Unspecified,Defence,,UNSW-led defence tech accelerator providing $350k per startup to develop dual-use technologies.,https://dtb.solutions/accelerators/,2026-07-09,https://app.notion.com/p/D10x-Accelerator-3985de22266781d1aba1edbf1d1fe442,innovation_ecosystem; trade_investment_agencies; investors_public,innovation_ecosystem,I2N Accelerator Program,0.774,core-name 'd10x accelerator' ~ 'i2n accelerator',innovation_ecosystem,Melbourne Accelerator Program (MAP),0.710,core-name 'd10x accelerator' ~ 'accelerator map',innovation_ecosystem,Xccelerate,0.692,full normalised name
Startup Tasmania,Connections,Community,TAS,,,Unspecified,,,"Tasmania's startup community organisation. Events, founder support, and ecosystem building across Hobart and Launceston.",https://www.startuptasmania.com/,2026-07-09,https://app.notion.com/p/Startup-Tasmania-3985de22266781fbbda8c76539e02425,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,UTS Startups,0.737,core-name 'startup' ~ 'uts startups',innovation_ecosystem,Startupbootcamp,0.645,full normalised name,innovation_ecosystem,Startmate,0.625,core-name 'startup' ~ 'startmate'
The Startup Network,Connections,Community,National,,,Unspecified,,,Australian startup community platform connecting founders through events and online network.,https://thestartupnetwork.com.au/,2026-07-09,https://app.notion.com/p/The-Startup-Network-3985de22266781368e4bfb1d82237ddc,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,UTS Startups,0.737,core-name 'startup' ~ 'uts startups',innovation_ecosystem,Startupbootcamp,0.636,core-name 'startup' ~ 'startupbootcamp',innovation_ecosystem,Startmate,0.625,core-name 'startup' ~ 'startmate'
Grapple,Funding,Finance,National,"Line of credit $500,000+",Always open,Open / Rolling,FinTech,,Invoice finance platform for Australian SMEs. Line of credit against unpaid invoices with same-day funding.,https://grapplefinance.com.au/,2026-07-09,https://app.notion.com/p/Grapple-3985de222667810186f5c33cae3fc56a,investors_public; trade_investment_agencies,investors_public,Tripple,0.714,full normalised name,,,,,,,,
Business Innovation Program NT,Funding,Grant,NT,"Up to 30,000",Closed - program under review,Unspecified,,,NT Government grants plus advisor support for product development and market expansion.,https://business.nt.gov.au/,2026-07-09,https://app.notion.com/p/Business-Innovation-Program-NT-3985de22266781bca507d1a1d98c5edb,investors_public; trade_investment_agencies,investors_public,City of Sydney Innovation Grant,0.706,core-name 'business innovation' ~ 'city innovation',investors_public,Cicada Innovations,0.649,core-name 'business innovation' ~ 'cicada innovations',investors_public,Innovation Connect Grants,0.618,full normalised name
NT Business Innovation Support,Funding,Grant,NT,,,Unspecified,,,NT Government innovation support including vouchers and advisory for Territory businesses developing new products.,https://business.nt.gov.au/,2026-07-09,https://app.notion.com/p/NT-Business-Innovation-Support-3985de22266781dd9c25f77cfa7d4649,investors_public; trade_investment_agencies,investors_public,City of Sydney Innovation Grant,0.706,core-name 'business innovation' ~ 'city innovation',investors_public,Cicada Innovations,0.649,core-name 'business innovation' ~ 'cicada innovations',trade_investment_agencies,Callaghan Innovation,0.615,core-name 'business innovation' ~ 'callaghan innovation'
Western Sydney Launchpad,Programs,University,NSW,,,Unspecified,,,Western Sydney University's entrepreneurship program supporting student and community ventures across Greater Western Sydney.,https://www.westernsydney.edu.au/launch-pad/,2026-07-09,https://app.notion.com/p/Western-Sydney-Launchpad-3985de222667818e9aa3c724eebe61e7,innovation_ecosystem; trade_investment_agencies; investors_public,innovation_ecosystem,Western Sydney Start up Hub,0.706,full normalised name,investors_public,Western Tech,0.690,core-name 'western launchpad' ~ 'western tech',innovation_ecosystem,ClimateLaunchpad,0.667,core-name 'western launchpad' ~ 'climatelaunchpad'
Impact North,Connections,Community,NT,,,Unspecified,,Indigenous,NT community organisation supporting Indigenous entrepreneurship and social enterprise across Northern Australia.,https://www.impactnorth.org.au/,2026-07-09,https://app.notion.com/p/Impact-North-3985de2226678107b220e4bcc6ebac95,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,Impact X,0.700,full normalised name,,,,,,,,
Regional Tech Hub,Connections,Community,National,,,Unspecified,Tech,Regional,Free advice on digital connectivity for regional Australians — relevant for regional founders needing connectivity solutions.,https://www.regionaltechhub.org.au/,2026-07-09,https://app.notion.com/p/Regional-Tech-Hub-3985de2226678118b7cfd7ddc2665f8c,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,The RegTech Association,0.700,core-name 'regional tech' ~ 'regtech',innovation_ecosystem,GovTech Australia,0.600,core-name 'regional tech' ~ 'govtech',innovation_ecosystem,FinTech Australia,0.600,core-name 'regional tech' ~ 'fintech'
Self-Employment Assistance,Programs,Program,National,,Always open,Open / Rolling,,,"Free federal program helping eligible job seekers start a business. Training, business plan support, and 12 months of mentoring. Small business coaching available.",https://www.employment.gov.au/self-employment-assistance,2026-07-09,https://app.notion.com/p/Self-Employment-Assistance-3985de222667815bad19e6fa57d7da7f,innovation_ecosystem; trade_investment_agencies; investors_public,investors_public,Export Assistance Grant Program,0.698,core-name 'self employment assistance' ~ 'export assistance',,,,,,,,
Tasmania Business Growth Loan Scheme,Funding,Grant,TAS,"100,000 - 5 million",Open until Dec 2026,Open / Rolling,,,Tasmanian Government low-interest loans $100K-$5M for business growth projects creating Tasmanian jobs.,https://www.business.tas.gov.au/,2026-07-09,https://app.notion.com/p/Tasmania-Business-Growth-Loan-Scheme-3985de2226678159bae5cfc25d48f4f3,investors_public; trade_investment_agencies,investors_public,Business of Agriculture Grant,0.686,core-name 'business growth' ~ 'business agriculture',investors_public,Partners for Growth,0.667,core-name 'business growth' ~ 'partners growth',trade_investment_agencies,Business France,0.667,core-name 'business growth' ~ 'business france'
Tasmania Business Growth Programs,Funding,Grant,TAS,,,Unspecified,,,"Suite of Tasmanian Government programs supporting business growth: advisory, digital capability, and market expansion.",https://www.business.tas.gov.au/,2026-07-09,https://app.notion.com/p/Tasmania-Business-Growth-Programs-3985de22266781a09143ee495400fc16,investors_public; trade_investment_agencies,investors_public,Business of Agriculture Grant,0.686,core-name 'business growth' ~ 'business agriculture',investors_public,Partners for Growth,0.667,core-name 'business growth' ~ 'partners growth',trade_investment_agencies,Business France,0.667,core-name 'business growth' ~ 'business france'
Transition Level Investments,Funding,Investor,National,,Always open,Open / Rolling,Tech,,Private investor backing early-stage Australian technology companies. Patient capital approach.,https://www.transitionlevel.com/,2026-07-09,https://app.notion.com/p/Transition-Level-Investments-3985de22266781578e47dc3f74c4891b,investors_public; trade_investment_agencies,investors_public,SEEK Investments,0.682,full normalised name,trade_investment_agencies,Trade and Investment Queensland,0.682,core-name 'transition level investments' ~ 'trade investment',investors_public,Marshall Investments,0.667,full normalised name
Kickstarter,Funding,Investor,National,"1,000 - 1 million",Apply anytime,Open / Rolling,Tech,,"Global rewards-based crowdfunding platform for creative projects, hardware, and design. All-or-nothing funding model.",https://www.kickstarter.com/,2026-07-09,https://app.notion.com/p/Kickstarter-3985de2226678110b92ecccf24572107,investors_public; trade_investment_agencies,investors_public,CSIRO Kick-Start Program,0.667,core-name 'kickstarter' ~ 'csiro kick start',investors_public,Nick Stanley,0.609,full normalised name,investors_public,Startmate,0.600,full normalised name
La Trobe LaunchPad Pre-Accelerator,Programs,University,VIC,,,Unspecified,,,"La Trobe University's pre-accelerator for students, staff, and alumni. Idea validation, mentoring, and pathway to external accelerators.",https://www.latrobe.edu.au/launchpad,2026-07-09,https://app.notion.com/p/La-Trobe-LaunchPad-Pre-Accelerator-3985de22266781e2aa7ce501b01e63f9,innovation_ecosystem; trade_investment_agencies; investors_public,innovation_ecosystem,THRIVE APAC Accelerator,0.667,full normalised name,innovation_ecosystem,HATCH (Taronga Accelerator Program),0.610,core-name 'la trobe launchpad pre accelerator' ~ 'hatch taronga accelerator',innovation_ecosystem,I2N Cleantech Accelerator,0.610,full normalised name
NSW Clean Technology Innovation Grants,Funding,Grant,NSW,Varies,Open - closes 8 Sep 2026,Open / Rolling,CleanTech,,NSW Government grants supporting clean technology R&D and commercialisation to reduce emissions.,https://www.nsw.gov.au/,2026-07-09,https://app.notion.com/p/NSW-Clean-Technology-Innovation-Grants-3985de2226678144bc6fca4b60eb2a79,investors_public; trade_investment_agencies,investors_public,City of Sydney Innovation Grant,0.667,core-name 'clean technology innovation' ~ 'city innovation',investors_public,Victorian Clean Technology Fund (VCTF),0.655,core-name 'clean technology innovation' ~ 'victorian clean technology vctf',trade_investment_agencies,Callaghan Innovation,0.638,core-name 'clean technology innovation' ~ 'callaghan innovation'
Pozible,Funding,Investor,National,"1,000 - 500,000",Apply anytime,Open / Rolling,Tech,,Australian crowdfunding platform for creative projects and community ventures. Rewards-based campaigns.,https://www.pozible.com/,2026-07-09,https://app.notion.com/p/Pozible-3985de222667813abeddf691c7f0b94a,investors_public; trade_investment_agencies,trade_investment_agencies,ProChile,0.667,full normalised name,trade_investment_agencies,ProChile Australia,0.667,full normalised name,,,,
StartupWA,Connections,Community,WA,,,Unspecified,,,WA's peak startup body advocating for the Perth and regional WA startup ecosystem. Events and ecosystem reports.,https://www.startupwa.org/,2026-07-09,https://app.notion.com/p/StartupWA-3985de22266781f78bb6f277b42b3d8d,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,Startmate,0.667,full normalised name,innovation_ecosystem,UTS Startups,0.667,full normalised name,innovation_ecosystem,Startupbootcamp,0.667,full normalised name
SXSW Sydney,Connections,Community,NSW,,Cancelled,Discontinued,,,DISCONTINUED. SXSW Sydney ran 2023-2025. Event cancelled with no 2026 edition planned.,https://sxswsydney.com/,2026-07-09,https://app.notion.com/p/SXSW-Sydney-3985de222667819e9e6cedf5b4734d3d,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,Techstars Sydney,0.667,full normalised name,,,,,,,,
Victorian CleanTech Cluster,Connections,Community,VIC,,,Unspecified,CleanTech,,"Victoria's cleantech industry network connecting startups, corporates, and researchers in clean economy sectors.",https://www.viccleantech.com.au/,2026-07-09,https://app.notion.com/p/Victorian-CleanTech-Cluster-3985de22266781519772f7d31891a15b,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,I2N Cleantech Accelerator,0.654,full normalised name,,,,,,,,
SOUTHSTART,Connections,Community,SA,,17-19 Mar 2026,Scheduled / Dated,,,"Australia's boldest startup festival in Adelaide. Three days of talks, connection sessions, and ecosystem gatherings.",https://www.southstart.co/,2026-07-09,https://app.notion.com/p/SOUTHSTART-3985de22266781bfb04fe2dcfb81362f,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,UTS Startups,0.636,full normalised name,innovation_ecosystem,Techstars Sydney,0.632,core-name 'southstart' ~ 'techstars',,,,
The Ethics Centre,Advice,Expert,National,,,Unspecified,,,Not-for-profit promoting ethical decision-making in business including ethics advisory for startups and leaders.,https://ethics.org.au/,2026-07-09,https://app.notion.com/p/The-Ethics-Centre-3985de22266781699d31da5434aa1cc2,community_members_public; service_providers,service_providers,Accenture Australia,0.636,core-name 'ethics centre' ~ 'accenture',,,,,,,,
Deakin Renewable Energy Pre-Accelerator,Programs,University,VIC,,,Unspecified,CleanTech,,LaunchVic-supported program helping Deakin students and researchers develop business ideas in the renewable energy sector.,https://www.deakin.edu.au/,2026-07-09,https://app.notion.com/p/Deakin-Renewable-Energy-Pre-Accelerator-3985de2226678153abe4f9db7d3e96b3,innovation_ecosystem; trade_investment_agencies; investors_public,innovation_ecosystem,National Energy Transition Accelerator (NETA),0.634,full normalised name,,,,,,,,
Defence Industry Development Grants (DIDG),Funding,Grant,National,"Up to 1,000,000",Multiple rounds,Scheduled / Dated,Defence,,"Up to $1M matched funding across four streams: Sovereign Priorities, Skilling, Export, and Security for defence startups.",https://www.defence.gov.au/business-industry/industry-programs,2026-07-09,https://app.notion.com/p/Defence-Industry-Development-Grants-DIDG-3985de222667817ba044c2e190bcc616,investors_public; trade_investment_agencies,investors_public,Export Market Development Grant (EMDG),0.632,full normalised name,,,,,,,,
Agriculture Victoria,Advice,Government,VIC,,,Unspecified,AgTech,,Supports innovation in food and fibre industries including agtech startups. Operates research facilities like AgriBio and SmartFarms. Partners on the Hugh Victor McKay Fund and Farmers2Founders.,https://agriculture.vic.gov.au/,2026-07-09,https://app.notion.com/p/Agriculture-Victoria-3985de22266781078d9bcc1dd0b7e099,community_members_public; service_providers,service_providers,Invest Victoria,0.629,full normalised name,service_providers,Accenture Australia,0.600,core-name 'agriculture' ~ 'accenture',,,,
ScotPac,Funding,Investor,National,,Apply anytime,Open / Rolling,FinTech,,"SME lender providing invoice finance, trade finance, and asset finance. Australia's largest non-bank SME lender.",https://www.scotpac.com.au/,2026-07-09,https://app.notion.com/p/ScotPac-3985de22266781a0bfb1c70773d015c3,investors_public; trade_investment_agencies,investors_public,Bosco Tan,0.625,full normalised name,,,,,,,,
Startup Daily,Advice,Expert,National,,,Unspecified,,,"Australia's leading startup news publication covering funding rounds, ecosystem news, and founder stories daily.",https://www.startupdaily.net/,2026-07-09,https://app.notion.com/p/Startup-Daily-3985de222667812ea236ceb415532ccc,community_members_public; service_providers,service_providers,LUNA Startup Studio,0.625,full normalised name,,,,,,,,
Australian Business Awards (ABA100),Funding,Competition,National,Recognition award (no cash prize),July 2026,Scheduled / Dated,Tech,,"Categories include Business Innovation, Product Innovation, Start-Up of the Year, AI Innovation, Digital Innovation.",https://www.australianbusinessawards.com.au/,2026-07-09,https://app.notion.com/p/Australian-Business-Awards-ABA100-3985de22266781bab026ca1081a69f3c,investors_public; trade_investment_agencies,trade_investment_agencies,Australia Indonesia Business Council (AIBC),0.622,full normalised name,trade_investment_agencies,European Australian Business Council (EABC),0.622,full normalised name,trade_investment_agencies,Australia China Business Council,0.615,full normalised name
AMES Australia Settlement Services,Advice,Government,VIC,,,Unspecified,,Migrant,Settlement services for migrants and refugees including employment support and business start-up guidance.,https://ames.net.au/,2026-07-09,https://app.notion.com/p/AMES-Australia-Settlement-Services-3985de2226678177a1b5dabbb2716a4c,community_members_public; service_providers,service_providers,Australian Multilingual Services (AMLS),0.620,full normalised name,,,,,,,,
Fearless Innovator Grant,Funding,Grant,SA,"$20,000–$30,000 (4x $20k Launch grants + 1x $30k Elevate grant)",2026 applications close 14 Aug; recipients announced 6 Nov 2026,Open / Rolling,,Women,SA Government grants for women founders to build and scale businesses. Rebranded from Fearless Innovator Grant to FoundHer Grant Program in 2026. Delivered with Women in Innovation (WINN) and Fearless Females Network.,https://business.sa.gov.au/programs/women-in-business/foundher,2026-07-09,https://app.notion.com/p/Fearless-Innovator-Grant-3985de2226678144bb0be28619e3ae26,investors_public; trade_investment_agencies,investors_public,City of Sydney Innovation Grant,0.618,full normalised name,investors_public,Scale Investors,0.606,core-name 'fearless innovator' ~ 'scale investors',,,,
Pitchberry,Advice,Tool,National,,,Unspecified,,,Platform connecting startups with investors through structured pitch materials and warm introductions.,https://pitchberry.ai/,2026-07-09,https://app.notion.com/p/Pitchberry-3985de222667812a96eafd36beebbd6e,community_members_public; service_providers,service_providers,Pitcher Partners,0.615,full normalised name,,,,,,,,
SA Startup Ecosystem,Advice,Government,SA,,,Unspecified,,,South Australia's startup support landscape anchored by Lot Fourteen precinct and the SA Venture Capital Fund.,https://statedevelopment.sa.gov.au/startup-ecosystem,2026-07-09,https://app.notion.com/p/SA-Startup-Ecosystem-3985de22266781268ec7c085c5e4e247,community_members_public; service_providers,service_providers,LUNA Startup Studio,0.615,full normalised name,,,,,,,,
Australian Network on Disability,Connections,Community,National,,,Unspecified,,Disability,Membership organisation connecting employers and businesses to disability inclusion best practices.,https://www.and.org.au/,2026-07-09,https://app.notion.com/p/Australian-Network-on-Disability-3985de222667815f8b92cda61b30e7d8,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,Australian Payments Network (AusPayNet),0.609,full normalised name,,,,,,,,
Croc Pitch,Funding,Competition,NT,Up to 1 million,September annually,Scheduled / Dated,Tech,,"Northern Australia's largest startup pitch competition, run by the Darwin Innovation Hub. Winner receives up to $1M in Paspalis venture capital. Annual event each September.",https://crocpitch.com.au/,2026-07-09,https://app.notion.com/p/Croc-Pitch-3985de22266781f9817ef1efa83242aa,investors_public; trade_investment_agencies,investors_public,Chris Hitchen,0.609,full normalised name,,,,,,,,
ARAIN (National AI Adopt Centre),Advice,Government,VIC,,,Unspecified,AI; Tech,,"Commonwealth-funded National AI Adopt Centre focused on AI readiness for Australian industry. Provides AI maturity assessments, adoption roadmaps, and training for SMEs.",https://arain.com.au/,2026-07-09,https://app.notion.com/p/ARAIN-National-AI-Adopt-Centre-3985de222667815582bac8ed20167e79,community_members_public; service_providers,service_providers,B2B International (a dentsu company),0.607,full normalised name,,,,,,,,
ManuFutures (Deakin University),Programs,University,VIC,,,Unspecified,DeepTech,,Deakin's advanced manufacturing incubator at Waurn Ponds. Purpose-built facilities for hardware and manufacturing startups.,https://manufutures.deakin.edu.au/,2026-07-09,https://app.notion.com/p/ManuFutures-Deakin-University-3985de22266781468e48fb3ad65b884f,innovation_ecosystem; trade_investment_agencies; investors_public,investors_public,Agrifutures Australia RD&E Investment,0.607,core-name 'manufutures deakin university' ~ 'agrifutures rd e investment',,,,,,,,
Spruson & Ferguson,Advice,Expert,National,,,Unspecified,,,"Leading IP firm across Asia-Pacific. Patents, trademarks, and IP strategy for startups through to multinationals.",https://www.spruson.com/,2026-07-09,https://app.notion.com/p/Spruson-Ferguson-3985de22266781b9876fea0574410431,community_members_public; service_providers,community_members_public,Madeline Ferguson,0.606,full normalised name,,,,,,,,
Startup Muster,Advice,Tool,National,,,Unspecified,,,"Australia's largest startup ecosystem survey providing annual data on founders, funding, and challenges.",https://www.startupmuster.com/,2026-07-09,https://app.notion.com/p/Startup-Muster-3985de2226678113a1b8e8b818155379,community_members_public; service_providers,service_providers,LUNA Startup Studio,0.606,full normalised name,,,,,,,,
Good Humans Venture Studio,Programs,Accelerator,National,,,Unspecified,Tech,Women; Indigenous; Migrants; Disability,"Venture studio backing underrepresented founders including women, First Nations, migrant, and disabled entrepreneurs. Co-builds ventures from idea stage.",https://goodhumans.ventures/,2026-07-09,https://app.notion.com/p/Good-Humans-Venture-Studio-3985de22266781bb9ffde529565d3f32,innovation_ecosystem; trade_investment_agencies; investors_public,investors_public,Boson Ventures,0.600,full normalised name,,,,,,,,
NSW Agriculture Innovation and Growth Program,Funding,Grant,NSW,Varies,Closed (last round closed 23 Jan 2026),Scheduled / Dated,AgTech,,"NSW Government funding for agricultural innovation, agtech adoption, and farm productivity improvements.",https://www.nsw.gov.au/,2026-07-09,https://app.notion.com/p/NSW-Agriculture-Innovation-and-Growth-Program-3985de22266781ad930bca26bfc80f71,investors_public; trade_investment_agencies,investors_public,Global Innovation Fund (GIF),0.600,core-name 'agriculture innovation growth' ~ 'global innovation gif',,,,,,,,
OnMarket,Funding,Investor,National,"50,000 - 5 million",Apply anytime,Open / Rolling,Tech,,Equity crowdfunding and IPO platform. Retail investors access early-stage deals from $50 minimum investment.,https://www.onmarket.com.au/,2026-07-09,https://app.notion.com/p/OnMarket-3985de22266781bcb5e0f9f4a3c7196d,investors_public; trade_investment_agencies,trade_investment_agencies,Haymarket HQ,0.600,full normalised name,,,,,,,,
Out for Australia,Connections,Community,National,,,Unspecified,,LGBTQ+,National LGBTQ+ professional network with mentoring programs supporting queer professionals and founders early in their careers.,https://www.outforaustralia.org/,2026-07-09,https://app.notion.com/p/Out-for-Australia-3985de22266781eba81be734409fd496,innovation_ecosystem; trade_investment_agencies,innovation_ecosystem,SproutX,0.600,core-name 'out' ~ 'sproutx',,,,,,,,
Sova,Advice,Tool,National,,,Unspecified,,,"This directory. Curated database of 470+ Australian founder programs, funding sources, and startup resources, updated regularly.",https://getsova.com.au/,2026-07-09,https://app.notion.com/p/Sova-3985de22266781de953fc44bafa5dbfa,community_members_public; service_providers,service_providers,Sodali & Co,0.600,full normalised name,,,,,,,,
