Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Notion page URL,proposed_name,proposed_slug,proposed_description,proposed_website,proposed_location,proposed_location_id,proposed_sector_tags,proposed_sector_agnostic,proposed_type,proposed_sectors,proposed_founded,proposed_employees,confidence,validation_flags,proposed_action,source
Little Tokyo Two,Connections,Community,QLD,,,Unspecified,,,"Brisbane coworking with 5 locations across SE QLD. Starting Stage Plan for startups at $160/month includes accelerator and incubator program access, mentoring, workshops. 600+ businesses supported.",https://www.lt2.co/,https://app.notion.com/p/Little-Tokyo-Two-3985de22266781458171ed0e4c773111,Little Tokyo Two,little-tokyo-two,"Brisbane coworking with 5 locations across SE QLD. Starting Stage Plan for startups at $160/month includes accelerator and incubator program access, mentoring, workshops. 600+ businesses supported.",https://www.littletokyotwo.com/,"Brisbane, QLD",ec57c034-85c3-48f0-b4c3-8a983a66151e,,true,Coworking Space,,,,high,URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10),import,sova_directory_2026-07
LiveHaus,Connections,Community,National,,,Unspecified,,,Startup community and events platform connecting founders across Australia.,https://thelivehaus.com/,https://app.notion.com/p/LiveHaus-3985de22266781ac8ec6dba319a0f2d5,LiveHaus,livehaus,Startup community and events platform connecting founders across Australia.,https://thelivehaus.com/,Australia,,,true,Community,,,,high,"national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Lot Fourteen,Connections,Community,SA,,,Unspecified,Defence; DeepTech,,"Adelaide's innovation precinct home to 1,400+ workers across space, defence, AI, and cyber. Houses Stone & Chalk, Australian Space Agency, and MIT Living Lab.",https://lotfourteen.com.au/,https://app.notion.com/p/Lot-Fourteen-3985de2226678126bcbefb498527d8b6,Lot Fourteen,lot-fourteen,"Adelaide's innovation precinct home to 1,400+ workers across space, defence, AI, and cyber. Houses Stone & Chalk, Australian Space Agency, and MIT Living Lab.",https://lotfourteen.com.au/,"Adelaide, SA",5aaeb8f3-93c2-46ac-a601-c6c32bf6b199,government-administration; manufacturing; technology-information-and-media; professional-services,false,Incubator; Coworking Space,Defence & Space; Deep Tech,,,high,,import,sova_directory_2026-07
ManuFutures (Deakin University),Programs,University,VIC,,,Unspecified,DeepTech,,Deakin's advanced manufacturing incubator at Waurn Ponds. Purpose-built facilities for hardware and manufacturing startups.,https://manufutures.deakin.edu.au/,https://app.notion.com/p/ManuFutures-Deakin-University-3985de22266781468e48fb3ad65b884f,ManuFutures (Deakin University),manufutures-deakin-university,Deakin's advanced manufacturing incubator at Waurn Ponds. Purpose-built facilities for hardware and manufacturing startups.,https://manufutures.deakin.edu.au/,"Melbourne, VIC",b36ed012-72dd-4da3-b5b2-d9448225e4ee,technology-information-and-media; professional-services; manufacturing,false,Incubator,Deep Tech,,,high,university program mapped to Incubator,import,sova_directory_2026-07
Meshpoints,Connections,Community,WA,,,Unspecified,,,WA startup ecosystem connector running events and programs across Perth and regional WA.,https://www.meshpoints.com/,https://app.notion.com/p/Meshpoints-3985de22266781d39492d04381821e0c,Meshpoints,meshpoints,WA startup ecosystem connector running events and programs across Perth and regional WA.,https://www.meshpoints.com/,"Perth, WA",89b7453d-6827-428f-ac94-7092c1df6264,,true,Community,,,,high,"innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
NT Indigenous Business Network,Connections,Community,NT,,,Unspecified,,Indigenous,"Network supporting Aboriginal and Torres Strait Islander businesses across the Northern Territory. Events, directory, and advocacy.",https://ntibn.org.au/,https://app.notion.com/p/NT-Indigenous-Business-Network-3985de22266781a09e26e24d40a75370,NT Indigenous Business Network,nt-indigenous-business-network,"Network supporting Aboriginal and Torres Strait Islander businesses across the Northern Territory. Events, directory, and advocacy.",https://www.ntibn.com.au/,"Darwin, NT",30b2ae5d-6320-4c9a-abc9-6a2f52021332,,true,Industry Body,,,,high,URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10),import,sova_directory_2026-07
Out for Australia,Connections,Community,National,,,Unspecified,,LGBTQ+,National LGBTQ+ professional network with mentoring programs supporting queer professionals and founders early in their careers.,https://www.outforaustralia.org/,https://app.notion.com/p/Out-for-Australia-3985de22266781eba81be734409fd496,Out for Australia,out-for-australia,National LGBTQ+ professional network with mentoring programs supporting queer professionals and founders early in their careers.,https://www.outforaustralia.org/,Australia,,,true,Community,,,,high,"national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Pride in Diversity,Connections,Community,National,,,Unspecified,,LGBTQ+,Australia's national employer support program for LGBTQ+ workplace inclusion. AWEI benchmarking and workplace programs.,https://www.prideinclusionprograms.com.au/,https://app.notion.com/p/Pride-in-Diversity-3985de2226678165a3dbf842261d0838,Pride in Diversity,pride-in-diversity,Australia's national employer support program for LGBTQ+ workplace inclusion. AWEI benchmarking and workplace programs.,https://www.prideinclusionprograms.com.au/,Australia,,,true,Industry Body,,,,high,national org — no matching locations row,import,sova_directory_2026-07
QUT bluebox,Programs,University,QLD,,,Unspecified,,,"QUT's innovation hub and startup programs. Bluebox Accelerator, student programs, and research commercialisation support.",https://www.qut.edu.au/bluebox,https://app.notion.com/p/QUT-bluebox-3985de222667818b84afc80891fb0e56,QUT bluebox,qut-bluebox,"QUT's innovation hub and startup programs. Bluebox Accelerator, student programs, and research commercialisation support.",https://www.qut.edu.au/bluebox,"Brisbane, QLD",ec57c034-85c3-48f0-b4c3-8a983a66151e,,true,Incubator,,,,high,university program mapped to Incubator,import,sova_directory_2026-07
Regional Accelerator Network,Connections,Community,National,,,Unspecified,,Regional,Network connecting regional Australian founders with accelerator programs and startup support outside capital cities.,https://getsova.com.au/directory.html,https://app.notion.com/p/Regional-Accelerator-Network-3985de2226678159844cd80cbb5a8e28,Regional Accelerator Network,regional-accelerator-network,Network connecting regional Australian founders with accelerator programs and startup support outside capital cities.,,Australia,,,true,Community,,,,high,"no canonical website — Source URL points back to the Sova directory | national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Regional Tech Hub,Connections,Community,National,,,Unspecified,Tech,Regional,Free advice on digital connectivity for regional Australians — relevant for regional founders needing connectivity solutions.,https://www.regionaltechhub.org.au/,https://app.notion.com/p/Regional-Tech-Hub-3985de2226678118b7cfd7ddc2665f8c,Regional Tech Hub,regional-tech-hub,Free advice on digital connectivity for regional Australians — relevant for regional founders needing connectivity solutions.,https://www.regionaltechhub.org.au/,Australia,,technology-information-and-media,false,Community,Technology,,,high,"national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Self-Employment Assistance,Programs,Program,National,,Always open,Open / Rolling,,,"Free federal program helping eligible job seekers start a business. Training, business plan support, and 12 months of mentoring. Small business coaching available.",https://www.employment.gov.au/self-employment-assistance,https://app.notion.com/p/Self-Employment-Assistance-3985de222667815bad19e6fa57d7da7f,Self-Employment Assistance,self-employment-assistance,"Free federal program helping eligible job seekers start a business. Training, business plan support, and 12 months of mentoring. Small business coaching available.",https://www.employment.gov.au/self-employment-assistance,Australia,,,true,,,,,high,national org — no matching locations row | gov program — empty type per Landing Pad convention,import,sova_directory_2026-07
Soldier On,Connections,Community,National,,,Unspecified,,Veterans,Veteran support organisation with employment programs and pathways for veteran entrepreneurs.,https://www.soldieron.org.au/,https://app.notion.com/p/Soldier-On-3985de2226678113b8fce33080eb5750,Soldier On,soldier-on,Veteran support organisation with employment programs and pathways for veteran entrepreneurs.,https://www.soldieron.org.au/,Australia,,,true,Community,,,,high,"national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Startup Grind,Connections,Community,National,,,Unspecified,,,Global startup community with Australian chapters. Monthly fireside chats with successful founders and investors.,https://www.startupgrind.com/,https://app.notion.com/p/Startup-Grind-3985de222667813eac44c5a03d8beee9,Startup Grind,startup-grind,Global startup community with Australian chapters. Monthly fireside chats with successful founders and investors.,https://www.startupgrind.com/,Australia,,,true,Community,,,,high,"national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Startup Tasmania,Connections,Community,TAS,,,Unspecified,,,"Tasmania's startup community organisation. Events, founder support, and ecosystem building across Hobart and Launceston.",https://www.startuptasmania.com/,https://app.notion.com/p/Startup-Tasmania-3985de22266781fbbda8c76539e02425,Startup Tasmania,startup-tasmania,"Tasmania's startup community organisation. Events, founder support, and ecosystem building across Hobart and Launceston.",https://www.startuptasmania.com/,"Hobart, TAS",,,true,Industry Body,,,,high,no Tasmania row in locations table,import,sova_directory_2026-07
StartupWA,Connections,Community,WA,,,Unspecified,,,WA's peak startup body advocating for the Perth and regional WA startup ecosystem. Events and ecosystem reports.,https://www.startupwa.org/,https://app.notion.com/p/StartupWA-3985de22266781f78bb6f277b42b3d8d,StartupWA,startupwa,WA's peak startup body advocating for the Perth and regional WA startup ecosystem. Events and ecosystem reports.,https://www.startupwa.org/,"Perth, WA",89b7453d-6827-428f-ac94-7092c1df6264,,true,Industry Body,,,,high,,import,sova_directory_2026-07
Student Edge,Connections,Community,National,,,Unspecified,,Youth,Australia's largest student organisation with entrepreneurship resources and youth programs for student founders.,https://www.studentedge.com.au/,https://app.notion.com/p/Student-Edge-3985de2226678122b27ed0f5476596f8,Student Edge,student-edge,Australia's largest student organisation with entrepreneurship resources and youth programs for student founders.,https://www.studentedge.com.au/,Australia,,,true,Community,,,,high,"national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Supply Nation,Connections,Community,National,,,Unspecified,,Indigenous,Australia's leading database of verified Indigenous businesses. Certification connects Indigenous suppliers with corporate and government buyers.,https://supplynation.org.au/,https://app.notion.com/p/Supply-Nation-3985de2226678128a0c2e1033b8a965b,Supply Nation,supply-nation,Australia's leading database of verified Indigenous businesses. Certification connects Indigenous suppliers with corporate and government buyers.,https://supplynation.org.au/,Australia,,,true,Industry Body,,,,high,national org — no matching locations row,import,sova_directory_2026-07
Switch Start Scale,Connections,Community,SA,,,Unspecified,,,SA startup program series supporting founders from idea (Switch) through launch (Start) to growth (Scale).,https://www.switchstartscale.com.au/,https://app.notion.com/p/Switch-Start-Scale-3985de222667815aaa9edacea54b7f57,Switch Start Scale,switch-start-scale,SA startup program series supporting founders from idea (Switch) through launch (Start) to growth (Scale).,https://www.switchstartscale.com.au/,"Adelaide, SA",5aaeb8f3-93c2-46ac-a601-c6c32bf6b199,,true,Accelerator,,,,high,,import,sova_directory_2026-07
TAFE NSW Women in Business Program,Programs,Program,NSW,,Always open,Open / Rolling,,Women,Free online program for NSW women starting or growing a business. Self-paced modules with mentoring support.,https://www.tafensw.edu.au/,https://app.notion.com/p/TAFE-NSW-Women-in-Business-Program-3985de22266781ba972ad596bbaae769,TAFE NSW Women in Business Program,tafe-nsw-women-in-business-program,Free online program for NSW women starting or growing a business. Self-paced modules with mentoring support.,https://www.tafensw.edu.au/,"Sydney, NSW",862f8ee1-db85-420d-a6bd-fab368f5ab22,,true,,,,,high,gov program — empty type per Landing Pad convention,import,sova_directory_2026-07
Tech Central,Connections,Community,NSW,,,Unspecified,Tech,,"Sydney's innovation precinct from Central to Eveleigh. Home to Atlassian HQ, startups, and university partnerships. NSW Government-backed development.",https://techcentral.sydney/,https://app.notion.com/p/Tech-Central-3985de222667810184bae3e1280829c1,Tech Central,tech-central,"Sydney's innovation precinct from Central to Eveleigh. Home to Atlassian HQ, startups, and university partnerships. NSW Government-backed development.",https://techcentral.sydney/,"Sydney, NSW",862f8ee1-db85-420d-a6bd-fab368f5ab22,technology-information-and-media,false,Incubator; Coworking Space,Technology,,,high,,import,sova_directory_2026-07
The Entrepreneur Club,Connections,Community,VIC,,Monthly (last Friday),Scheduled / Dated,,,Melbourne founder community with monthly breakfast meetups. Peer support and speaker sessions for entrepreneurs.,https://www.meetup.com/the-entrepreneur-club-melbourne/,https://app.notion.com/p/The-Entrepreneur-Club-3985de2226678115ae0be23f7d4e4168,The Entrepreneur Club,the-entrepreneur-club,Melbourne founder community with monthly breakfast meetups. Peer support and speaker sessions for entrepreneurs.,https://www.meetup.com/the-entrepreneur-club-melbourne/,"Melbourne, VIC",b36ed012-72dd-4da3-b5b2-d9448225e4ee,,true,Community,,,,high,"source URL is a platform/social page, not an org website | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
The Product Bus,Connections,Community,VIC,,,Unspecified,,,Melbourne product management community with events and mentoring for product people and founders.,https://theproductbus.com/,https://app.notion.com/p/The-Product-Bus-3985de22266781ca9de9ee1e983cd642,The Product Bus,the-product-bus,Melbourne product management community with events and mentoring for product people and founders.,https://theproductbus.com/,"Melbourne, VIC",b36ed012-72dd-4da3-b5b2-d9448225e4ee,,true,Community,,,,high,"innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
The Startup Network,Connections,Community,National,,,Unspecified,,,Australian startup community platform connecting founders through events and online network.,https://thestartupnetwork.com.au/,https://app.notion.com/p/The-Startup-Network-3985de22266781368e4bfb1d82237ddc,The Startup Network,the-startup-network,Australian startup community platform connecting founders through events and online network.,https://thestartupnetwork.com.au/,Australia,,,true,Community,,,,high,"national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Victorian CleanTech Cluster,Connections,Community,VIC,,,Unspecified,CleanTech,,"Victoria's cleantech industry network connecting startups, corporates, and researchers in clean economy sectors.",https://www.viccleantech.com.au/,https://app.notion.com/p/Victorian-CleanTech-Cluster-3985de22266781519772f7d31891a15b,Victorian CleanTech Cluster,victorian-cleantech-cluster,"Victoria's cleantech industry network connecting startups, corporates, and researchers in clean economy sectors.",https://www.victoriancleantech.org.au/,"Melbourne, VIC",b36ed012-72dd-4da3-b5b2-d9448225e4ee,utilities; manufacturing; professional-services,false,Industry Body,CleanTech,,,high,URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10),import,sova_directory_2026-07
Western Sydney Launchpad,Programs,University,NSW,,,Unspecified,,,Western Sydney University's entrepreneurship program supporting student and community ventures across Greater Western Sydney.,https://www.westernsydney.edu.au/launch-pad/,https://app.notion.com/p/Western-Sydney-Launchpad-3985de222667818e9aa3c724eebe61e7,Western Sydney Launchpad,western-sydney-launchpad,Western Sydney University's entrepreneurship program supporting student and community ventures across Greater Western Sydney.,https://www.westernsydney.edu.au/launch-pad/,"Sydney, NSW",862f8ee1-db85-420d-a6bd-fab368f5ab22,,true,Incubator,,,,high,university program mapped to Incubator,import,sova_directory_2026-07
WithYouWithMe,Connections,Community,National,,,Unspecified,Tech,Veterans,Tech careers platform for veterans and underrepresented groups. Training and job placement including startup pathways.,https://withyouwithme.com/,https://app.notion.com/p/WithYouWithMe-3985de22266781ff95e3dce66ca6e5ea,WithYouWithMe,withyouwithme,Tech careers platform for veterans and underrepresented groups. Training and job placement including startup pathways.,https://withyouwithme.com/,Australia,,technology-information-and-media,false,Community,Technology,,,high,"national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
Young Change Agents,Connections,Community,National,,,Unspecified,,Youth,Social entrepreneurship programs for young Australians aged 10-18. Design thinking and youth-led venture education.,https://www.youngchangeagents.com.au/,https://app.notion.com/p/Young-Change-Agents-3985de22266781648315dd2bfb7bb926,Young Change Agents,young-change-agents,Social entrepreneurship programs for young Australians aged 10-18. Design thinking and youth-led venture education.,https://youngchangeagents.com/,Australia,,,true,Community,,,,high,"URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10) | national org — no matching locations row | innovation_ecosystem type 'Community' — new value, APPROVED 2026-07-10",import,sova_directory_2026-07
