Name,Category,Type,State,Amount,Timing / Deadline,Status,Industries,Founder tags,Description,Source URL,Notion page URL,proposed_name,proposed_slug,proposed_description,proposed_website,proposed_location,proposed_location_id,proposed_sector_tags,proposed_sector_agnostic,proposed_organisation_type,proposed_government_level,proposed_is_government_funded,proposed_founded,proposed_employees,confidence,validation_flags,proposed_action,source
AMES Australia Settlement Services,Advice,Government,VIC,,,Unspecified,,Migrant,Settlement services for migrants and refugees including employment support and business start-up guidance.,https://ames.net.au/,https://app.notion.com/p/AMES-Australia-Settlement-Services-3985de2226678177a1b5dabbb2716a4c,AMES Australia Settlement Services,ames-australia-settlement-services,Settlement services for migrants and refugees including employment support and business start-up guidance.,https://ames.net.au/,"Melbourne, VIC",b36ed012-72dd-4da3-b5b2-d9448225e4ee,,true,federal_agency,federal,true,,,high,,import,sova_directory_2026-07
ARAIN (National AI Adopt Centre),Advice,Government,VIC,,,Unspecified,AI; Tech,,"Commonwealth-funded National AI Adopt Centre focused on AI readiness for Australian industry. Provides AI maturity assessments, adoption roadmaps, and training for SMEs.",https://arain.com.au/,https://app.notion.com/p/ARAIN-National-AI-Adopt-Centre-3985de222667815582bac8ed20167e79,ARAIN (National AI Adopt Centre),arain-national-ai-adopt-centre,"Commonwealth-funded National AI Adopt Centre focused on AI readiness for Australian industry. Provides AI maturity assessments, adoption roadmaps, and training for SMEs.",https://arain.com.au/,"Melbourne, VIC",b36ed012-72dd-4da3-b5b2-d9448225e4ee,technology-information-and-media,false,federal_agency,federal,true,,,high,,import,sova_directory_2026-07
Aboriginal Investment NT,Advice,Government,NT,"Up to 100,000",,Unspecified,,Indigenous,NT-based organisation providing grants up to $100K and business support for Aboriginal entrepreneurs.,https://nt.gov.au/,https://app.notion.com/p/Aboriginal-Investment-NT-3985de22266781c699c2d84b87fde60e,Aboriginal Investment NT,aboriginal-investment-nt,NT-based organisation providing grants up to $100K and business support for Aboriginal entrepreneurs.,https://nt.gov.au/,"Darwin, NT",30b2ae5d-6320-4c9a-abc9-6a2f52021332,,true,state_body,state,true,,,high,,import,sova_directory_2026-07
Agriculture Victoria,Advice,Government,VIC,,,Unspecified,AgTech,,Supports innovation in food and fibre industries including agtech startups. Operates research facilities like AgriBio and SmartFarms. Partners on the Hugh Victor McKay Fund and Farmers2Founders.,https://agriculture.vic.gov.au/,https://app.notion.com/p/Agriculture-Victoria-3985de22266781078d9bcc1dd0b7e099,Agriculture Victoria,agriculture-victoria,Supports innovation in food and fibre industries including agtech startups. Operates research facilities like AgriBio and SmartFarms. Partners on the Hugh Victor McKay Fund and Farmers2Founders.,https://agriculture.vic.gov.au/,"Melbourne, VIC",b36ed012-72dd-4da3-b5b2-d9448225e4ee,farming-ranching-forestry; technology-information-and-media,false,state_body,state,true,,,high,,import,sova_directory_2026-07
Business Queensland,Advice,Government,QLD,,,Unspecified,,,Queensland's business support portal featuring Advance Queensland initiatives and Mentoring for Growth program.,https://www.business.qld.gov.au/,https://app.notion.com/p/Business-Queensland-3985de22266781549704f90f89a28d7f,Business Queensland,business-queensland,Queensland's business support portal featuring Advance Queensland initiatives and Mentoring for Growth program.,https://www.business.qld.gov.au/,"Brisbane, QLD",ec57c034-85c3-48f0-b4c3-8a983a66151e,,true,state_body,state,true,,,high,,import,sova_directory_2026-07
Business Tasmania,Advice,Government,TAS,,,Unspecified,,,Tasmania's business support portal with Business Growth Loan Scheme and incubator programs.,https://www.business.tas.gov.au/,https://app.notion.com/p/Business-Tasmania-3985de2226678150ba2df0f037f94ddc,Business Tasmania,business-tasmania,Tasmania's business support portal with Business Growth Loan Scheme and incubator programs.,https://www.business.tas.gov.au/,"Hobart, TAS",,,true,state_body,state,true,,,high,no Tasmania row in locations table,import,sova_directory_2026-07
Disability Gateway,Advice,Government,National,,,Unspecified,,Disability,"Australian Government's central resource hub for people with disability, including business support.",https://www.disabilitygateway.gov.au/,https://app.notion.com/p/Disability-Gateway-3985de2226678159a369c29cbf74c815,Disability Gateway,disability-gateway,"Australian Government's central resource hub for people with disability, including business support.",https://www.disabilitygateway.gov.au/,Australia,,,true,federal_agency,federal,true,,,high,national org — no matching locations row,import,sova_directory_2026-07
Indigenous Business Australia,Advice,Government,National,"Up to 100,000",Apply anytime,Open / Rolling,,Indigenous,"Business loans, support packages, and workshops for First Nations entrepreneurs. Start-up finance packages combine a loan with business support.",https://www.iba.gov.au/,https://app.notion.com/p/Indigenous-Business-Australia-3985de22266781b9b0a3f3bc71e0fe43,Indigenous Business Australia,indigenous-business-australia,"Business loans, support packages, and workshops for First Nations entrepreneurs. Start-up finance packages combine a loan with business support.",https://www.iba.gov.au/,Australia,,,true,federal_agency,federal,true,,,high,national org — no matching locations row,import,sova_directory_2026-07
Many Rivers,Advice,Government,National,,,Unspecified,,Indigenous,Microenterprise development charity providing business coaching and microloans to Indigenous entrepreneurs and underserved communities.,https://www.manyrivers.org.au/,https://app.notion.com/p/Many-Rivers-3985de22266781bd9c63d239258ad745,Many Rivers,many-rivers,Microenterprise development charity providing business coaching and microloans to Indigenous entrepreneurs and underserved communities.,https://www.manyrivers.org.au/,Australia,,,true,federal_agency,federal,true,,,high,national org — no matching locations row,import,sova_directory_2026-07
NIAA Indigenous Entrepreneurs Fund,Advice,Government,National,Varies,Rolling,Open / Rolling,,Indigenous,National Indigenous Australians Agency funding for First Nations business owners. Capital grants and business support.,https://www.niaa.gov.au/,https://app.notion.com/p/NIAA-Indigenous-Entrepreneurs-Fund-3985de2226678154b937e60b81990f71,NIAA Indigenous Entrepreneurs Fund,niaa-indigenous-entrepreneurs-fund,National Indigenous Australians Agency funding for First Nations business owners. Capital grants and business support.,https://www.niaa.gov.au/,Australia,,,true,federal_agency,federal,true,,,high,national org — no matching locations row,import,sova_directory_2026-07
Regional Development Australia,Advice,Government,National,,,Unspecified,,Regional,Federal network of regional committees supporting economic development including regional entrepreneurship programs.,https://www.rda.gov.au/,https://app.notion.com/p/Regional-Development-Australia-3985de22266781f69e00e4713caff3d4,Regional Development Australia,regional-development-australia,Federal network of regional committees supporting economic development including regional entrepreneurship programs.,https://www.rda.gov.au/,Australia,,,true,federal_agency,federal,true,,,high,national org — no matching locations row,import,sova_directory_2026-07
SA Startup Ecosystem,Advice,Government,SA,,,Unspecified,,,South Australia's startup support landscape anchored by Lot Fourteen precinct and the SA Venture Capital Fund.,https://statedevelopment.sa.gov.au/startup-ecosystem,https://app.notion.com/p/SA-Startup-Ecosystem-3985de22266781268ec7c085c5e4e247,SA Startup Ecosystem,sa-startup-ecosystem,South Australia's startup support landscape anchored by Lot Fourteen precinct and the SA Venture Capital Fund.,https://statedevelopment.sa.gov.au/startup-ecosystem,"Adelaide, SA",5aaeb8f3-93c2-46ac-a601-c6c32bf6b199,,true,state_body,state,true,,,high,,import,sova_directory_2026-07
SMEC AI (National AI Adopt Centre),Advice,Government,VIC,,,Unspecified,AI; Tech,,"Commonwealth-backed SME AI adoption program providing assessments, roadmaps, and implementation support for small businesses adopting AI.",https://www.smecai.au/,https://app.notion.com/p/SMEC-AI-National-AI-Adopt-Centre-3985de22266781dc9bc7f2485f5fa17b,SMEC AI (National AI Adopt Centre),smec-ai-national-ai-adopt-centre,"Commonwealth-backed SME AI adoption program providing assessments, roadmaps, and implementation support for small businesses adopting AI.",https://www.smecai.au/,"Melbourne, VIC",b36ed012-72dd-4da3-b5b2-d9448225e4ee,technology-information-and-media,false,federal_agency,federal,true,,,high,,import,sova_directory_2026-07
Startup Victoria,Advice,Government,VIC,,,Unspecified,Tech,,"Victoria's startup community (now part of LaunchVic ecosystem). Events, founder resources, and Melbourne startup network.",https://startupvictoria.com.au/,https://app.notion.com/p/Startup-Victoria-3985de222667815b9565f1de8dc7c472,Startup Victoria,startup-victoria,"Victoria's startup community (now part of LaunchVic ecosystem). Events, founder resources, and Melbourne startup network.",https://startupvictoria.com.au/,"Melbourne, VIC",b36ed012-72dd-4da3-b5b2-d9448225e4ee,technology-information-and-media,false,federal_agency,federal,true,,,high,,import,sova_directory_2026-07
Thrive Refugee Enterprise,Advice,Government,National,"Up to 50,000",,Unspecified,,Migrant,Loans up to $50K and business support for refugees and asylum seekers building businesses in Australia.,https://thriverefugee.com/,https://app.notion.com/p/Thrive-Refugee-Enterprise-3985de22266781bcbebfec611d2b9309,Thrive Refugee Enterprise,thrive-refugee-enterprise,Loans up to $50K and business support for refugees and asylum seekers building businesses in Australia.,https://www.thriverefugeeenterprise.org.au/,Australia,,,true,federal_agency,federal,true,,,high,URL corrected — Sova link was dead; org confirmed live (web check 2026-07-10) | national org — no matching locations row,import,sova_directory_2026-07
