surface,raw_value,v2_parent_sector,linkedin_code,linkedin_description,confidence,note
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Food and Beverage Services,Accommodation and Food Services,34,Food & Beverages,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Hospitality,Accommodation and Food Services,31,Hospitality,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Collection Agencies,Administrative and Support Services,43,Financial Services,low,No 147 entry for debt collection; financial-services-adjacent
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Events Services,Administrative and Support Services,110,Events Services,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Facilities Services,Administrative and Support Services,122,Facilities Services,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Fundraising,Administrative and Support Services,101,Fund-Raising,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Office Administration,Administrative and Support Services,123,Outsourcing/Offshoring,low,No 147 entry for office administration; nearest business-support entry
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Security and Investigations,Administrative and Support Services,121,Security and Investigations,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Telephone Call Centers,Administrative and Support Services,123,Outsourcing/Offshoring,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Staffing and Recruiting,Administrative and Support Services,104,Staffing and Recruiting,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Translation and Localization,Administrative and Support Services,108,Translation and Localization,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Travel Arrangements,Administrative and Support Services,30,"Leisure, Travel & Tourism",high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Writing and Editing,Administrative and Support Services,103,Writing and Editing,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Building Construction,Construction,48,Construction,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Civil Engineering,Construction,51,Civil Engineering,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Specialty Trade Contractors,Construction,48,Construction,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Civic and Social Organizations,Consumer Services,90,Civic & Social Organization,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Household Services,Consumer Services,91,Consumer Services,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Non-profit Organizations,Consumer Services,100,Non-Profit Organization Management,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Personal and Laundry Services,Consumer Services,91,Consumer Services,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Philanthropic Fundraising Services,Consumer Services,131,Philanthropy,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Religious Institutions,Consumer Services,89,Religious Institutions,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Repair and Maintenance,Consumer Services,91,Consumer Services,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,E-Learning Providers,Education,132,E-Learning,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Higher Education,Education,68,Higher Education,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Primary and Secondary Education,Education,67,Primary/Secondary Education,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Professional Training and Coaching,Education,105,Professional Training & Coaching,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Technical and Vocational Training,Education,105,Professional Training & Coaching,medium,No 147 vocational-training entry
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Artists and Writers,Entertainment Providers,38,Fine Art,medium,Split concept; 103 Writing and Editing secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,"Museums, Historical Sites, and Zoos",Entertainment Providers,37,Museums and Institutions,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Musicians,Entertainment Providers,115,Music,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Performing Arts and Spectator Sports,Entertainment Providers,39,Performing Arts,medium,33 Sports secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Recreational Facilities,Entertainment Providers,40,Recreational Facilities and Services,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Spectator Sports,Entertainment Providers,33,Sports,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Farming,"Farming, Ranching, Forestry",63,Farming,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Ranching and Fisheries,"Farming, Ranching, Forestry",64,Ranching,medium,66 Fishery secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Forestry and Logging,"Farming, Ranching, Forestry",61,Paper & Forest Products,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Capital Markets,Financial Services,129,Capital Markets,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Credit Intermediation,Financial Services,41,Banking,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Funds and Trusts,Financial Services,46,Investment Management,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Insurance,Financial Services,42,Insurance,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Administration of Justice,Government Administration,73,Judiciary,medium,77 Law Enforcement secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Economic Programs,Government Administration,75,Government Administration,medium,141 International Trade and Development secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Environmental Quality Programs,Government Administration,86,Environmental Services,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Health and Human Services,Government Administration,75,Government Administration,medium,88 Individual & Family Services secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Housing and Community Development,Government Administration,75,Government Administration,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Military and International Affairs,Government Administration,71,Military,medium,74 International Affairs secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Public Policy,Government Administration,79,Public Policy,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Public Policy Offices,Government Administration,79,Public Policy,medium,130 Think Tanks secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Space Research and Technology,Government Administration,1,Defense & Space,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Holding Companies,Holding Companies,46,Investment Management,low,No 147 holding-companies entry — flag for decision
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Community Services,Hospitals and Health Care,88,Individual & Family Services,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,"Hospitals, Individual and Family Services",Hospitals and Health Care,14,Hospital & Health Care,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Medical Practices,Hospitals and Health Care,13,Medical Practice,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Nursing Homes and Residential Care Facilities,Hospitals and Health Care,14,Hospital & Health Care,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Apparel Manufacturing,Manufacturing,19,Apparel & Fashion,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing,112,Electrical/Electronic Manufacturing,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Chemical Manufacturing,Manufacturing,54,Chemicals,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Computers and Electronics Manufacturing,Manufacturing,3,Computer Hardware,medium,24 Consumer Electronics secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Fabricated Metal Products,Manufacturing,55,Machinery,low,No 147 fabricated-metal entry; 56 Mining & Metals secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Food and Beverage Manufacturing,Manufacturing,23,Food Production,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Furniture and Home Furnishings Manufacturing,Manufacturing,26,Furniture,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,"Glass, Ceramics and Concrete Manufacturing",Manufacturing,145,"Glass, Ceramics & Concrete",high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Leather Product Manufacturing,Manufacturing,19,Apparel & Fashion,low,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Machinery Manufacturing,Manufacturing,55,Machinery,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Medical Equipment Manufacturing,Manufacturing,17,Medical Devices,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Oil and Coal Product Manufacturing,Manufacturing,57,Oil & Energy,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Paper and Forest Product Manufacturing,Manufacturing,61,Paper & Forest Products,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Plastics and Rubber Product Manufacturing,Manufacturing,117,Plastics,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Primary Metal Manufacturing,Manufacturing,56,Mining & Metals,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Printing Services,Manufacturing,83,Printing,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Sporting Goods Manufacturing,Manufacturing,20,Sporting Goods,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Textile Manufacturing,Manufacturing,60,Textiles,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Tobacco Manufacturing,Manufacturing,21,Tobacco,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Transportation Equipment Manufacturing,Manufacturing,53,Automotive,medium,62 Railroad Manufacture / 58 Shipbuilding secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wood Product Manufacturing,Manufacturing,61,Paper & Forest Products,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Mining,"Oil, Gas, and Mining",56,Mining & Metals,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Oil and Gas,"Oil, Gas, and Mining",57,Oil & Energy,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Accounting,Professional Services,47,Accounting,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Advertising Services,Professional Services,80,Marketing and Advertising,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Architecture and Planning,Professional Services,50,Architecture & Planning,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Business Consulting and Services,Professional Services,11,Management Consulting,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Design Services,Professional Services,99,Design,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Engineering Services,Professional Services,135,Mechanical or Industrial Engineering,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,IT Services and IT Consulting,Professional Services,96,Information Technology and Services,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Legal Services,Professional Services,10,Legal Services,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Research Services,Professional Services,70,Research,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Services for Renewable Energy,Professional Services,144,Renewables & Environment,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Veterinary Services,Professional Services,16,Veterinary,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Equipment Rental Services,Real Estate and Equipment Rental Services,138,Business Supplies and Equipment,low,No 147 rental entry — flag for decision
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Real Estate,Real Estate and Equipment Rental Services,44,Real Estate,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Food and Beverage Retail,Retail,22,Supermarkets,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Online and Mail Order Retail,Retail,27,Retail,medium,6 Internet secondary (e-commerce)
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Apparel and Fashion,Retail,19,Apparel & Fashion,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,"Retail Appliances, Electrical, and Electronic Equipment",Retail,24,Consumer Electronics,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Art Dealers,Retail,38,Fine Art,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Art Supplies,Retail,111,Arts and Crafts,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Books and Printed News,Retail,27,Retail,medium,82 Publishing secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Building Materials and Garden Equipment,Retail,49,Building Materials,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Florists,Retail,27,Retail,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Furniture and Home Furnishings,Retail,26,Furniture,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Gasoline,Retail,57,Oil & Energy,low,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Health and Personal Care Products,Retail,27,Retail,medium,18 Cosmetics secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Luxury Goods and Jewelry,Retail,143,Luxury Goods & Jewelry,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Motor Vehicles,Retail,53,Automotive,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Musical Instruments,Retail,27,Retail,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Office Equipment,Retail,138,Business Supplies and Equipment,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Office Supplies and Gifts,Retail,138,Business Supplies and Equipment,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Retail Recyclable Materials and Used Merchandise,Retail,27,Retail,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Book and Periodical Publishing,"Technology, Information and Media",82,Publishing,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Broadcast Media Production and Distribution,"Technology, Information and Media",36,Broadcast Media,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Data Infrastructure and Analytics,"Technology, Information and Media",84,Information Services,medium,Primary anchor for AI/data cluster; 4 Computer Software secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Information Services,"Technology, Information and Media",84,Information Services,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Internet Marketplace Platforms,"Technology, Information and Media",6,Internet,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,"Movies, Videos, and Sound","Technology, Information and Media",35,Motion Pictures and Film,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Social Networking Platforms,"Technology, Information and Media",6,Internet,medium,113 Online Media secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Software Development,"Technology, Information and Media",4,Computer Software,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Telecommunications,"Technology, Information and Media",8,Telecommunications,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Airlines and Aviation,"Transportation, Logistics, Supply Chain and Storage",94,Airlines/Aviation,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage",87,Package/Freight Delivery,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage",92,Transportation/Trucking/Railroad,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Maritime Transportation,"Transportation, Logistics, Supply Chain and Storage",95,Maritime,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Pipeline Transportation,"Transportation, Logistics, Supply Chain and Storage",57,Oil & Energy,low,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Postal Services,"Transportation, Logistics, Supply Chain and Storage",87,Package/Freight Delivery,medium,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Rail Transportation,"Transportation, Logistics, Supply Chain and Storage",92,Transportation/Trucking/Railroad,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage",92,Transportation/Trucking/Railroad,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage",93,Warehousing,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Electric Power Generation,Utilities,59,Utilities,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,"Electric Power Transmission, Control, and Distribution",Utilities,59,Utilities,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Natural Gas Distribution,Utilities,59,Utilities,medium,57 Oil & Energy secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,"Water, Waste, Steam, and Air Conditioning Services",Utilities,59,Utilities,medium,86 Environmental Services secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Alcoholic Beverages,Wholesale,142,Wine and Spirits,medium,133 Wholesale secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Apparel and Sewing Supplies,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,"Wholesale Appliances, Electrical, and Electronics",Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Building Materials,Wholesale,133,Wholesale,high,49 Building Materials secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Chemical and Allied Products,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Computer Equipment,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Drugs and Sundries,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Food and Beverage,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Footwear,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Furniture and Home Furnishings,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,"Wholesale Hardware, Plumbing, Heating Equipment",Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Import and Export,Wholesale,134,Import and Export,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Luxury Goods and Jewelry,Wholesale,133,Wholesale,high,143 Luxury Goods & Jewelry secondary
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Machinery,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Metals and Minerals,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Motor Vehicles and Parts,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Paper Products,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Petroleum and Petroleum Products,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Photography Equipment and Supplies,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Raw Farm Products,Wholesale,133,Wholesale,high,
linkedinTaxonomy.ts INDUSTRY_GROUP_OPTIONS,Wholesale Recyclable Materials,Wholesale,133,Wholesale,high,
